session_id,match_id,checkpoint_id,video_timestamp_sec,quality_flag,stage_round,hp,gold,level,xp,streak,board_units_count,bench_units_count,board_power,pair_count,immediate_shop_upgrades,estimated_rounds_to_elim,stage_benchmark_ratio,gold_to_next_level,spendable_roll_budget,recent_hp_delta,recommended_action,action_score_gap,actual_player_action,actual_action_source,human_preferred_action,human_confidence,blind_review,human_judgment,t1_checkpoint_id,t1_hp,hp_delta,t1_gold,gold_delta,t2_checkpoint_id,t2_hp,t2_hp_delta
SESSION_001,REAL_MATCH_562ffca4,CP001,75.0,VALID,2-1,100,10,3,2,0,2,0,2.0,0,0,50.0,1.0,10,0,,SAVE_GOLD,0.0391,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,False,GOOD,CP002,96,-4,18,8,CP003,88,-12
SESSION_001,REAL_MATCH_562ffca4,CP002,135.0,VALID,2-3,96,18,4,4,0,3,0,4.83,0,0,48.0,1.0,12,0,,SAVE_GOLD,0.0231,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,False,GOOD,CP003,88,-8,28,10,CP004,82,-14
SESSION_001,REAL_MATCH_562ffca4,CP003,195.0,VALID,2-5,88,28,4,8,0,4,1,5.83,0,1,44.0,1.0,8,0,,SAVE_GOLD,0.0231,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,False,GOOD,CP004,82,-6,38,10,CP005,82,-6
SESSION_001,REAL_MATCH_562ffca4,CP004,260.0,VALID,2-7,82,38,5,2,0,4,2,7.66,1,1,41.0,1.0,18,0,,SAVE_GOLD,0.0161,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,False,GOOD,CP005,82,0,48,10,CP006,74,-8
SESSION_001,REAL_MATCH_562ffca4,CP005,320.0,VALID,3-1,82,48,5,6,0,5,1,8.66,1,0,20.5,1.0,14,0,,SAVE_GOLD,0.0161,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,False,GOOD,CP006,74,-8,52,4,CP007,68,-14
SESSION_001,REAL_MATCH_562ffca4,CP006,385.0,VALID,3-2,74,52,6,0,0,6,1,11.49,1,2,18.5,1.0,24,2,,SAVE_GOLD,0.005,BUY_UNIT,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,False,GOOD,CP007,68,-6,54,2,CP008,58,-16
SESSION_001,REAL_MATCH_562ffca4,CP007,455.0,VALID,3-5,68,54,6,12,0,6,0,13.31,0,1,17.0,1.0,12,4,,ROLL,0.0018,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,False,GOOD,CP008,58,-10,56,2,CP009,48,-20
SESSION_001,REAL_MATCH_562ffca4,CP008,530.0,VALID,4-1,58,56,7,0,0,7,0,16.14,0,2,8.29,1.0,28,6,,ROLL,0.004,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,True,GOOD,CP009,48,-10,44,-12,CP010,38,-20
SESSION_001,REAL_MATCH_562ffca4,CP009,605.0,VALID,4-2,48,44,7,8,0,7,1,17.97,1,2,6.86,1.0,20,0,,SAVE_GOLD,0.0024,SAVE_GOLD,HUMAN_VIDEO_REVIEW,ROLL,HIGH,True,QUESTIONABLE,CP010,38,-10,48,4,CP011,32,-16
SESSION_001,REAL_MATCH_562ffca4,CP010,675.0,VALID,4-3,38,48,7,16,0,7,2,17.97,2,3,5.43,1.0,12,0,,SAVE_GOLD,0.0024,ROLL,HUMAN_VIDEO_REVIEW,ROLL,HIGH,True,GOOD,CP011,32,-6,32,-16,CP012,32,-6
SESSION_001,REAL_MATCH_562ffca4,CP011,740.0,VALID,4-5,32,32,7,24,0,7,1,19.8,1,0,4.57,1.0,4,0,,ROLL,0.0685,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,True,GOOD,CP012,32,0,40,8,CP013,32,0
SESSION_001,REAL_MATCH_562ffca4,CP012,810.0,VALID,4-6,32,40,7,28,0,7,1,19.8,1,1,4.57,1.0,0,0,,ROLL,0.0679,LEVEL_UP,HUMAN_VIDEO_REVIEW,LEVEL_UP,HIGH,True,GOOD,CP013,32,0,22,-18,CP014,24,-8
SESSION_001,REAL_MATCH_562ffca4,CP013,890.0,VALID,5-1,32,22,8,0,0,8,1,22.63,1,2,3.2,1.0,32,0,,ROLL,0.0324,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,True,GOOD,CP014,24,-8,28,6,CP015,24,-8
SESSION_001,REAL_MATCH_562ffca4,CP014,960.0,VALID,5-2,24,28,8,4,0,8,2,22.63,2,2,2.4,1.0,28,0,,ROLL,0.0451,ROLL,HUMAN_VIDEO_REVIEW,ROLL,HIGH,True,GOOD,CP015,24,0,16,-12,CP016,16,-8
SESSION_001,REAL_MATCH_562ffca4,CP015,1030.0,VALID,5-3,24,16,8,8,0,8,2,22.63,2,0,2.4,1.0,24,0,,ROLL,0.0195,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,True,GOOD,CP016,16,-8,26,10,CP017,45,21
SESSION_001,REAL_MATCH_562ffca4,CP016,1110.0,VALID,5-5,16,26,8,16,0,8,2,22.63,2,2,1.6,1.0,16,0,,ROLL,0.0408,ROLL,HUMAN_VIDEO_REVIEW,ROLL,HIGH,True,GOOD,CP017,45,29,30,4,CP018,45,29
SESSION_001,REAL_MATCH_562ffca4,CP017,1190.0,VALID,5-7,45,30,8,24,0,8,1,25.0,1,0,4.5,1.0,8,0,,SAVE_GOLD,0.0015,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,True,GOOD,CP018,45,0,40,10,CP019,8,-37
SESSION_001,REAL_MATCH_562ffca4,CP018,1270.0,VALID,6-1,45,40,8,32,0,8,1,25.0,1,2,3.0,1.0,0,0,,SAVE_GOLD,0.0015,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,True,GOOD,CP019,8,-37,12,-28,CP020,8,-37
SESSION_001,REAL_MATCH_562ffca4,CP019,1360.0,VALID,6-2,8,12,8,36,0,8,0,27.36,0,0,0.53,1.0,0,0,,ROLL,0.0115,ROLL,HUMAN_VIDEO_REVIEW,ROLL,HIGH,False,GOOD,CP020,8,0,4,-8,,,
SESSION_001,REAL_MATCH_562ffca4,CP020,1450.0,VALID,6-3,8,4,8,40,0,8,0,27.36,0,0,0.53,1.0,0,0,,ROLL,0.0001,SAVE_GOLD,HUMAN_VIDEO_REVIEW,SAVE_GOLD,HIGH,False,GOOD,,,,,,,,
