session_id,match_id,checkpoint_id,video_timestamp_sec,frame_index,frame_sha256,quality_flag,stage_round,hp,gold,level,xp,streak,board_units_count,bench_units_count,board_power,pair_count,immediate_shop_upgrades,estimated_rounds_to_elim,stage_benchmark_ratio,gold_to_next_level,spendable_roll_budget,recent_hp_delta,recommended_action,action_score_gap,actual_player_action,actual_action_source,actual_reviewer_id,human_preferred_action,human_confidence,blind_review,human_judgment,rationale_category,primary_reviewer_id,dual_review_count,t1_checkpoint_id,t1_hp,hp_delta,t1_gold,gold_delta,t2_checkpoint_id,t2_hp,t2_hp_delta,t3_checkpoint_id,t3_hp,t3_hp_delta
SESSION_001,REAL_MATCH_562ffca4,CP001,75.0,4500,b5fb5a7210cfbba5033a3e0d4f49107cdf499e8a558ac8a65507982b892476d0,VALID,2-1,100,10,3,2,0,2,0,2.0,0,0,50.0,1.0,10,0,,SAVE_GOLD,0.0391,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,CP002,96,-4,18,8,CP003,88,-12,CP004,82,-18
SESSION_001,REAL_MATCH_562ffca4,CP002,135.0,8100,a5e500a8f6b9a1e769347d6f9256b34d85354d877979a571933c29056bbd9396,VALID,2-3,96,18,4,4,0,3,0,4.83,0,0,48.0,1.0,12,0,,SAVE_GOLD,0.0231,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,CP003,88,-8,28,10,CP004,82,-14,CP005,82,-14
SESSION_001,REAL_MATCH_562ffca4,CP003,195.0,11700,e53350bd3f441b3790d200303be5926396a0bbaf1c4df64b82f639c3a0cc055f,VALID,2-5,88,28,4,8,0,4,1,5.83,0,1,44.0,1.0,8,0,,SAVE_GOLD,0.0231,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,CP004,82,-6,38,10,CP005,82,-6,CP006,74,-14
SESSION_001,REAL_MATCH_562ffca4,CP004,260.0,15600,c4a60315af64611181b5a51fe9ccf26829d964efaf561e74747487d622e73d33,VALID,2-7,82,38,5,2,0,4,2,7.66,1,1,41.0,1.0,18,0,,SAVE_GOLD,0.0161,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,CP005,82,0,48,10,CP006,74,-8,CP007,68,-14
SESSION_001,REAL_MATCH_562ffca4,CP005,320.0,19200,e6062693d16cc2bb9a27f7da24b222f3959970cb22408dd2b91781c04c5ac48d,VALID,3-1,82,48,5,6,0,5,1,8.66,1,0,20.5,1.0,14,0,,SAVE_GOLD,0.0161,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,CP006,74,-8,52,4,CP007,68,-14,CP008,58,-24
SESSION_001,REAL_MATCH_562ffca4,CP006,385.0,23100,81edeb58bf22158f1b036a17165498a97cd729c898483df63289ed3fdddfba16,VALID,3-2,74,52,6,0,0,6,1,11.49,1,2,18.5,1.0,24,2,,SAVE_GOLD,0.005,BUY_UNIT,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,CP007,68,-6,54,2,CP008,58,-16,CP009,48,-26
SESSION_001,REAL_MATCH_562ffca4,CP007,455.0,27300,6cbf1a2f903220789fc31cd3e47bf0642f2a8457cf1aa6257b35423a3a8a9d35,VALID,3-5,68,54,6,12,0,6,0,13.31,0,1,17.0,1.0,12,4,,ROLL,0.0018,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,CP008,58,-10,56,2,CP009,48,-20,CP010,38,-30
SESSION_001,REAL_MATCH_562ffca4,CP008,530.0,31800,e8faff9e398ca84e80fdb6b807a0edcf70545a5be4c0672edffffb7f9a793a9b,VALID,4-1,58,56,7,0,0,7,0,16.14,0,2,8.29,1.0,28,6,,ROLL,0.004,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP009,48,-10,44,-12,CP010,38,-20,CP011,32,-26
SESSION_001,REAL_MATCH_562ffca4,CP009,605.0,36300,fce87fbab1499c4add79852c375aec57caf451c5a51c8ad30ddd6f4457939fd9,VALID,4-2,48,44,7,8,0,7,1,17.97,1,2,6.86,1.0,20,0,,SAVE_GOLD,0.0024,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,ROLL,HIGH,True,QUESTIONABLE,UNKNOWN,REVIEWER_A,0,CP010,38,-10,48,4,CP011,32,-16,CP012,32,-16
SESSION_001,REAL_MATCH_562ffca4,CP010,675.0,40500,f1892131f1769448089f22bbf61dab2d3ba0ab9241072ae5c9ec36acd000b7e8,VALID,4-3,38,48,7,16,0,7,2,17.97,2,3,5.43,1.0,12,0,,SAVE_GOLD,0.0024,ROLL,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,ROLL,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP011,32,-6,32,-16,CP012,32,-6,CP013,32,-6
