sec,slot,crop_file,gt_champion,gt_cost,baseline_champion,baseline_conf,baseline_outcome,hybrid_champion,hybrid_conf,hybrid_ocr,hybrid_outcome,detected_cost,is_empty
302.0,1,eda_0302.0s_slot1.jpg,밀리오,2,밀리오,0.714,TP,밀리오,0.308,,TP,2,False
302.0,2,eda_0302.0s_slot2.jpg,우르곳,3,EMPTY,0.513,FN,우르곳,0.214,래벼,TP,3,False
302.0,3,eda_0302.0s_slot3.jpg,카이사,3,EMPTY,0.53,FN,카이사,0.339,길잡이0잡쪼,TP,3,False
302.0,4,eda_0302.0s_slot4.jpg,나서스,1,벨베스,0.58,FP,나서스,0.428,다,TP,1,False
302.0,5,eda_0302.0s_slot5.jpg,카이사,3,EMPTY,0.531,FN,카이사,0.235,,TP,3,False
312.0,1,eda_0312.0s_slot1.jpg,밀리오,2,밀리오,0.714,TP,밀리오,0.308,,TP,2,False
312.0,2,eda_0312.0s_slot2.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
312.0,3,eda_0312.0s_slot3.jpg,카이사,3,일라오이,0.53,FP,카이사,0.251,길가20,TP,3,False
312.0,4,eda_0312.0s_slot4.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
312.0,5,eda_0312.0s_slot5.jpg,카이사,3,일라오이,0.53,FP,카이사,0.234,,TP,3,False
314.0,1,eda_0314.0s_slot1.jpg,밀리오,2,밀리오,0.714,TP,밀리오,0.308,,TP,2,False
314.0,2,eda_0314.0s_slot2.jpg,나서스,1,벨베스,0.572,FP,나서스,0.418,다,TP,1,False
314.0,3,eda_0314.0s_slot3.jpg,카이사,3,일라오이,0.531,FP,카이사,0.247,김환20,TP,3,False
314.0,4,eda_0314.0s_slot4.jpg,나서스,1,나서스,0.723,TP,나서스,0.431,다,TP,1,False
314.0,5,eda_0314.0s_slot5.jpg,빅토르,3,일라오이,0.532,FP,빅토르,0.213,떠고,TP,3,False
316.0,1,eda_0316.0s_slot1.jpg,밀리오,2,밀리오,0.714,TP,밀리오,0.308,,TP,2,False
316.0,2,eda_0316.0s_slot2.jpg,나서스,1,벨베스,0.562,FP,나서스,0.413,다,TP,1,False
316.0,3,eda_0316.0s_slot3.jpg,카이사,3,일라오이,0.531,FP,카이사,0.247,길관020,TP,3,False
316.0,4,eda_0316.0s_slot4.jpg,나서스,1,나서스,0.724,TP,나서스,0.432,다,TP,1,False
316.0,5,eda_0316.0s_slot5.jpg,빅토르,3,일라오이,0.532,FP,빅토르,0.213,따고,TP,3,False
344.0,1,eda_0344.0s_slot1.jpg,밀리오,2,밀리오,0.715,TP,밀리오,0.308,,TP,2,False
344.0,2,eda_0344.0s_slot2.jpg,나서스,1,벨베스,0.559,FP,나서스,0.41,다,TP,1,False
344.0,3,eda_0344.0s_slot3.jpg,카이사,3,일라오이,0.531,FP,카이사,0.247,길가20,TP,3,False
344.0,4,eda_0344.0s_slot4.jpg,나서스,1,나서스,0.723,TP,나서스,0.431,다,TP,1,False
344.0,5,eda_0344.0s_slot5.jpg,빅토르,3,일라오이,0.532,FP,빅토르,0.213,,TP,3,False
346.0,1,eda_0346.0s_slot1.jpg,밀리오,2,밀리오,0.714,TP,밀리오,0.308,,TP,2,False
346.0,2,eda_0346.0s_slot2.jpg,나서스,1,벨베스,0.559,FP,나서스,0.411,다,TP,1,False
346.0,3,eda_0346.0s_slot3.jpg,카이사,3,일라오이,0.531,FP,카이사,0.247,길가20,TP,3,False
346.0,4,eda_0346.0s_slot4.jpg,나서스,1,나서스,0.723,TP,나서스,0.431,다,TP,1,False
346.0,5,eda_0346.0s_slot5.jpg,빅토르,3,일라오이,0.532,FP,빅토르,0.213,,TP,3,False
352.0,1,eda_0352.0s_slot1.jpg,밀리오,2,밀리오,0.715,TP,밀리오,0.308,,TP,2,False
352.0,2,eda_0352.0s_slot2.jpg,나서스,1,벨베스,0.562,FP,나서스,0.412,다,TP,1,False
352.0,3,eda_0352.0s_slot3.jpg,카이사,3,EMPTY,0.53,FN,카이사,0.349,걷잡이촉또,TP,3,False
352.0,4,eda_0352.0s_slot4.jpg,나서스,1,벨베스,0.572,FP,나서스,0.428,다,TP,1,False
352.0,5,eda_0352.0s_slot5.jpg,카이사,3,EMPTY,0.53,FN,카이사,0.304,대아이가,TP,3,False
356.0,1,eda_0356.0s_slot1.jpg,밀리오,2,밀리오,0.714,TP,밀리오,0.308,,TP,2,False
356.0,2,eda_0356.0s_slot2.jpg,나서스,1,벨베스,0.558,FP,나서스,0.41,다,TP,1,False
356.0,3,eda_0356.0s_slot3.jpg,카이사,3,EMPTY,0.53,FN,카이사,0.349,길잡이절물,TP,3,False
356.0,4,eda_0356.0s_slot4.jpg,나서스,1,나서스,0.728,TP,나서스,0.434,다,TP,1,False
356.0,5,eda_0356.0s_slot5.jpg,카이사,3,EMPTY,0.531,FN,카이사,0.308,태이8조,TP,3,False
390.0,1,eda_0390.0s_slot1.jpg,리븐,4,판테온,0.45,FP,리븐,0.326,,TP,4,False
390.0,2,eda_0390.0s_slot2.jpg,누누와 윌럼프,4,미스 포츈,0.436,FP,누누와 윌럼프,0.32,다,TP,4,False
390.0,3,eda_0390.0s_slot3.jpg,리븐,4,조이,0.428,FP,리븐,0.313,다,TP,4,False
390.0,4,eda_0390.0s_slot4.jpg,자야,4,미스 포츈,0.495,FP,자야,0.264,1,TP,4,False
390.0,5,eda_0390.0s_slot5.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
426.0,1,eda_0426.0s_slot1.jpg,카이사,3,레오나,0.457,FP,카이사,0.232,006,TP,3,False
426.0,2,eda_0426.0s_slot2.jpg,카이사,3,탈론,0.449,FP,카이사,0.295,이으구다,TP,3,False
426.0,3,eda_0426.0s_slot3.jpg,판테온,2,판테온,0.618,TP,판테온,0.278,10,TP,2,False
426.0,4,eda_0426.0s_slot4.jpg,판테온,2,판테온,0.616,TP,판테온,0.277,0,TP,2,False
426.0,5,eda_0426.0s_slot5.jpg,모데카이저,2,나르,0.542,FP,모데카이저,0.262,저리ㆍ떠,TP,2,False
436.0,1,eda_0436.0s_slot1.jpg,카이사,3,레오나,0.457,FP,카이사,0.233,006,TP,3,False
436.0,2,eda_0436.0s_slot2.jpg,카이사,3,탈론,0.449,FP,카이사,0.295,이으구다,TP,3,False
436.0,3,eda_0436.0s_slot3.jpg,판테온,2,판테온,0.618,TP,판테온,0.278,10,TP,2,False
436.0,4,eda_0436.0s_slot4.jpg,판테온,2,판테온,0.617,TP,판테온,0.277,0,TP,2,False
436.0,5,eda_0436.0s_slot5.jpg,모데카이저,2,나르,0.542,FP,모데카이저,0.262,저리ㆍ떠,TP,2,False
438.0,1,eda_0438.0s_slot1.jpg,카이사,3,레오나,0.457,FP,카이사,0.232,006,TP,3,False
