sec,slot,crop_file,gt_champion,gt_cost,pred_champion,pred_cost,detected_color_cost,confidence,outcome,is_empty
305.2,1,shop_0305.2s_card1.jpg,EMPTY,,EMPTY,,,0.0,TN,True
305.2,2,shop_0305.2s_card2.jpg,EMPTY,,EMPTY,,,0.0,TN,True
305.2,3,shop_0305.2s_card3.jpg,미스 포츈,3,EMPTY,2,2,0.4538,FN,False
305.2,4,shop_0305.2s_card4.jpg,EMPTY,,EMPTY,,,0.0,TN,True
305.2,5,shop_0305.2s_card5.jpg,렉사이,1,렉사이,1,1,0.5363,TP,False
320.4,1,shop_0320.4s_card1.jpg,나미,4,EMPTY,2,2,0.3342,FN,False
320.4,2,shop_0320.4s_card2.jpg,렉사이,1,EMPTY,2,2,0.3377,FN,False
320.4,3,shop_0320.4s_card3.jpg,미스 포츈,3,EMPTY,3,3,0.4491,FN,False
320.4,4,shop_0320.4s_card4.jpg,렉사이,1,EMPTY,3,3,0.4023,FN,False
320.4,5,shop_0320.4s_card5.jpg,렉사이,1,EMPTY,3,3,0.534,FN,False
321.6,1,shop_0321.6s_card1.jpg,나미,4,EMPTY,2,2,0.334,FN,False
321.6,2,shop_0321.6s_card2.jpg,마오카이,3,EMPTY,2,2,0.3306,FN,False
321.6,3,shop_0321.6s_card3.jpg,미스 포츈,3,EMPTY,3,3,0.3899,FN,False
321.6,4,shop_0321.6s_card4.jpg,렉사이,1,EMPTY,3,3,0.4027,FN,False
321.6,5,shop_0321.6s_card5.jpg,렉사이,1,EMPTY,3,3,0.5323,FN,False
324.4,1,shop_0324.4s_card1.jpg,나미,4,EMPTY,2,2,0.335,FN,False
324.4,2,shop_0324.4s_card2.jpg,렉사이,1,EMPTY,2,2,0.3379,FN,False
324.4,3,shop_0324.4s_card3.jpg,미스 포츈,3,EMPTY,3,3,0.4492,FN,False
324.4,4,shop_0324.4s_card4.jpg,제드,5,EMPTY,3,3,0.3609,FN,False
324.4,5,shop_0324.4s_card5.jpg,렉사이,1,EMPTY,3,3,0.534,FN,False
326.0,1,shop_0326.0s_card1.jpg,나미,4,EMPTY,2,2,0.3339,FN,False
326.0,2,shop_0326.0s_card2.jpg,렉사이,1,EMPTY,2,2,0.3377,FN,False
326.0,3,shop_0326.0s_card3.jpg,미스 포츈,3,EMPTY,3,3,0.4489,FN,False
326.0,4,shop_0326.0s_card4.jpg,제드,5,EMPTY,3,3,0.3609,FN,False
326.0,5,shop_0326.0s_card5.jpg,렉사이,1,EMPTY,3,3,0.5348,FN,False
371.2,1,shop_0371.2s_card1.jpg,EMPTY,,EMPTY,,,0.0,TN,True
371.2,2,shop_0371.2s_card2.jpg,마스터 이,4,마스터 이,4,3,0.4953,TP,False
371.2,3,shop_0371.2s_card3.jpg,밀리오,2,EMPTY,3,3,0.5043,FN,False
371.2,4,shop_0371.2s_card4.jpg,EMPTY,,EMPTY,,,0.0,TN,True
371.2,5,shop_0371.2s_card5.jpg,소나,5,EMPTY,3,3,0.4471,FN,False
376.6,1,shop_0376.6s_card1.jpg,EMPTY,,EMPTY,,,0.0,TN,True
376.6,2,shop_0376.6s_card2.jpg,마스터 이,4,마스터 이,4,3,0.4963,TP,False
376.6,3,shop_0376.6s_card3.jpg,밀리오,2,EMPTY,3,3,0.5044,FN,False
376.6,4,shop_0376.6s_card4.jpg,EMPTY,,EMPTY,,,0.0,TN,True
376.6,5,shop_0376.6s_card5.jpg,리산드라,1,EMPTY,3,3,0.4455,FN,False
383.8,1,shop_0383.8s_card1.jpg,리산드라,1,EMPTY,3,3,0.4342,FN,False
383.8,2,shop_0383.8s_card2.jpg,미스 포츈,3,EMPTY,2,2,0.4977,FN,False
383.8,3,shop_0383.8s_card3.jpg,미스 포츈,3,EMPTY,2,2,0.5178,FN,False
383.8,4,shop_0383.8s_card4.jpg,미스 포츈,3,미스 포츈,3,2,0.4599,TP,False
383.8,5,shop_0383.8s_card5.jpg,판테온,2,판테온,2,2,0.4509,TP,False
391.2,1,shop_0391.2s_card1.jpg,리산드라,1,EMPTY,3,3,0.4346,FN,False
391.2,2,shop_0391.2s_card2.jpg,미스 포츈,3,EMPTY,2,2,0.4974,FN,False
391.2,3,shop_0391.2s_card3.jpg,미스 포츈,3,EMPTY,2,2,0.5176,FN,False
391.2,4,shop_0391.2s_card4.jpg,미스 포츈,3,미스 포츈,3,2,0.4599,TP,False
391.2,5,shop_0391.2s_card5.jpg,판테온,2,판테온,2,2,0.4508,TP,False
414.2,1,shop_0414.2s_card1.jpg,리산드라,1,EMPTY,3,3,0.4343,FN,False
414.2,2,shop_0414.2s_card2.jpg,미스 포츈,3,EMPTY,2,2,0.4977,FN,False
414.2,3,shop_0414.2s_card3.jpg,렉사이,1,EMPTY,2,2,0.4621,FN,False
414.2,4,shop_0414.2s_card4.jpg,벨베스,2,벨베스,2,2,0.6713,TP,False
414.2,5,shop_0414.2s_card5.jpg,벨베스,2,벨베스,2,2,0.4903,TP,False
427.2,1,shop_0427.2s_card1.jpg,리산드라,1,EMPTY,3,3,0.4341,FN,False
427.2,2,shop_0427.2s_card2.jpg,미스 포츈,3,EMPTY,2,2,0.4976,FN,False
427.2,3,shop_0427.2s_card3.jpg,렉사이,1,EMPTY,2,2,0.4617,FN,False
427.2,4,shop_0427.2s_card4.jpg,벨베스,2,벨베스,2,2,0.6713,TP,False
427.2,5,shop_0427.2s_card5.jpg,벨베스,2,벨베스,2,2,0.491,TP,False
430.6,1,shop_0430.6s_card1.jpg,리산드라,1,EMPTY,3,3,0.4344,FN,False
430.6,2,shop_0430.6s_card2.jpg,미스 포츈,3,EMPTY,2,2,0.4977,FN,False
430.6,3,shop_0430.6s_card3.jpg,렉사이,1,EMPTY,2,2,0.4621,FN,False
430.6,4,shop_0430.6s_card4.jpg,벨베스,2,벨베스,2,2,0.6715,TP,False
430.6,5,shop_0430.6s_card5.jpg,벨베스,2,벨베스,2,2,0.4893,TP,False
462.8,1,shop_0462.8s_card1.jpg,렉사이,1,EMPTY,3,3,0.4099,FN,False
462.8,2,shop_0462.8s_card2.jpg,미스 포츈,3,미스 포츈,3,3,0.5493,TP,False
